@relation 'pacman-data-training-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>0, ifelse(A>2, ifelse(A>5, ifelse(A>8, ifelse(A>12, ifelse(A>15, ifelse(A>18, 7, 6), 5), 4), 3), 2), 1), 0)-V-R1-2,11-18,24-25-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>0, ifelse(A>5, ifelse(A>10, ifelse(A>15, ifelse(A>20, ifelse(A>25, ifelse(A>30, 7, 6), 5), 4), 3), 2), 1), 0)-V-R19-23,32-weka.filters.unsupervised.attribute.NumericToNominal-R1-2,11-25,32-weka.filters.unsupervised.attribute.Remove-R7-10,26-27,30-34'

@attribute pacman_positionX {0,1,2,3,4,5,6,7}
@attribute pacman_positionY {0,1,2,3,4,5,6,7}
@attribute legal_north {0,1}
@attribute legal_south {0,1}
@attribute legal_east {0,1}
@attribute legal_west {0,1}
@attribute ghost1_positionX {0,1,2,3,4,5,6,7}
@attribute ghost1_positionY {0,1,2,3,4,5,6,7}
@attribute ghost2_positionX {0,1,2,3,4,5,6,7}
@attribute ghost2_positionY {0,1,2,3,4,5,6,7}
@attribute ghost3_positionX {0,1,2,3,4,5,6,7}
@attribute ghost3_positionY {0,1,2,3,4,5,6,7}
@attribute ghost4_positionX {0,1,2,3,4,5,6,7}
@attribute ghost4_positionY {0,1,2,3,4,5,6,7}
@attribute ghost1_distance {0,1,2,3,4,5,6,7}
@attribute ghost2_distance {0,1,2,3,4,5,6,7}
@attribute ghost3_distance {0,1,2,3,4,5,6,7}
@attribute ghost4_distance {0,1,2,3,4,5,6,7}
@attribute food_distance {0,1,2,3,4,5,6,7}
@attribute food_position_x {0,1,2,3,4,5,6,7}
@attribute food_position_y {0,1,2,3,4,5,6,7}
@attribute score numeric
@attribute score_siguiente numeric
@attribute next_move {West,East,North,South,Stop}

@data
1,3,0,1,1,0,3,2,3,3,4,2,6,3,2,2,3,4,0,0,0,-1,-2,East
1,3,0,0,1,1,3,2,3,3,4,2,6,2,2,1,3,3,0,0,0,-2,-3,East
2,3,0,0,1,1,3,2,3,3,4,2,6,2,1,1,3,3,0,0,0,-3,-4,East
2,3,0,0,1,1,2,2,3,3,4,2,6,3,1,1,2,3,0,0,0,-4,-5,East
2,3,0,0,1,1,2,2,3,3,5,2,6,2,1,1,2,3,0,0,0,-5,-6,East
3,3,0,0,1,1,3,2,4,3,5,2,6,2,1,1,2,2,0,0,0,-6,-7,East
3,3,0,1,1,1,3,2,3,3,4,2,6,3,1,1,2,2,0,0,0,-7,192,East
3,3,0,0,1,1,3,2,2,1,4,2,6,3,1,0,2,2,0,0,0,192,191,East
4,3,0,0,1,1,3,2,2,1,4,2,6,3,2,0,1,2,0,0,0,191,190,East
4,3,0,0,1,1,3,2,2,1,4,2,6,3,2,0,1,2,0,0,0,190,189,West
4,3,0,0,1,1,2,2,2,1,4,2,6,3,2,0,1,2,0,0,0,189,188,West
3,3,0,0,1,1,2,2,2,1,4,2,6,3,1,0,2,2,0,0,0,188,187,West
3,3,0,1,1,1,2,2,2,1,4,2,6,3,1,0,2,3,0,0,0,187,186,South
3,2,1,1,0,0,2,2,2,1,4,2,6,2,1,0,2,3,0,0,0,186,185,South
3,2,1,1,1,1,2,2,2,1,4,2,6,3,1,0,1,3,0,0,0,185,184,South
3,2,1,0,1,1,2,2,2,1,4,2,6,2,1,0,2,3,0,0,0,184,183,West
3,2,1,0,1,1,2,2,2,1,4,2,6,3,1,0,2,3,0,0,0,183,382,West
2,2,1,0,1,1,1,1,2,1,4,2,6,2,0,0,2,3,0,0,0,382,381,North
2,2,0,1,1,1,1,1,2,1,4,2,6,2,0,0,2,3,0,0,0,381,380,East
3,2,0,1,1,1,1,1,2,1,5,2,6,3,0,0,2,3,0,0,0,380,379,East
3,2,1,1,1,1,1,1,2,1,5,2,6,3,0,0,2,3,0,0,0,379,378,East
3,2,0,1,1,1,1,1,2,1,5,2,6,3,0,0,2,3,0,0,0,378,377,East
4,2,0,1,1,1,1,1,2,1,5,2,6,2,0,0,2,3,0,0,0,377,376,East
4,2,0,1,1,1,1,1,2,1,6,2,6,3,0,0,2,2,0,0,0,376,375,East
4,2,0,1,1,1,1,1,2,1,6,2,6,2,0,0,2,2,0,0,0,375,374,East
4,2,0,1,1,1,1,1,2,1,6,2,6,3,0,0,2,2,0,0,0,374,373,East
5,2,0,1,1,1,1,1,2,1,6,2,6,3,0,0,1,1,0,0,0,373,372,East
5,2,1,1,1,1,1,1,2,1,6,2,6,3,0,0,1,1,0,0,0,372,371,East
5,2,0,1,1,1,1,1,2,1,6,2,6,3,0,0,1,1,0,0,0,371,370,East
6,2,1,1,1,1,1,1,2,1,6,3,6,3,0,0,1,1,0,0,0,370,369,East
6,2,0,1,1,1,1,1,2,1,6,2,6,3,0,0,1,1,0,0,0,369,368,East
6,2,1,1,0,1,1,1,2,1,2,1,6,2,0,0,0,1,0,0,0,568,567,North
6,2,1,1,0,0,1,1,2,1,2,1,6,2,0,0,0,1,0,0,0,567,566,North
6,3,0,1,0,1,1,1,2,1,2,1,6,2,0,0,0,1,0,0,0,566,565,West
6,3,0,0,1,1,1,1,2,1,2,1,6,2,0,0,0,1,0,0,0,565,764,West
1,6,0,1,1,0,2,3,4,2,6,3,7,3,3,5,6,7,0,0,0,-1,-2,South
1,6,1,1,0,0,3,3,4,2,6,2,7,3,3,5,6,7,0,0,0,-2,-3,South
1,6,1,1,1,0,3,3,4,2,6,2,7,3,3,5,6,7,0,0,0,-3,-4,South
1,5,1,1,1,0,3,3,4,2,6,2,7,3,3,5,6,7,0,0,0,-4,-5,South
1,5,1,1,1,0,3,3,4,2,6,3,7,3,3,4,5,7,0,0,0,-5,-6,South
1,5,1,1,0,0,3,3,4,2,6,3,7,3,3,4,5,7,0,0,0,-6,-7,South
1,4,1,1,1,0,3,3,4,2,6,3,7,3,2,4,5,6,0,0,0,-7,-8,South
1,4,1,1,0,0,3,3,4,2,6,3,7,4,2,4,5,6,0,0,0,-8,-9,South
1,4,1,1,0,0,2,3,4,2,7,3,7,4,2,3,5,6,0,0,0,-9,-10,South
1,4,1,1,0,0,2,3,4,2,7,2,7,4,1,3,5,6,0,0,0,-10,-11,South
1,3,1,1,0,0,3,3,4,2,7,2,7,4,1,3,5,6,0,0,0,-11,-12,South
1,3,1,1,0,0,2,3,4,3,7,2,7,4,1,3,5,6,0,0,0,-12,-13,South
1,3,1,1,1,0,2,3,4,3,7,2,7,4,2,2,5,6,0,0,0,-13,-14,East
1,3,0,1,1,1,2,3,4,3,7,2,7,4,1,2,4,6,0,0,0,-14,-15,East
2,3,1,1,1,1,2,3,4,3,7,3,7,4,1,2,4,6,0,0,0,-15,-16,North
2,3,1,1,1,0,2,4,4,3,7,3,7,4,1,2,4,6,0,0,0,-16,-17,North
