@RELATION pacman-data-training

	@ATTRIBUTE pacman_positionX NUMERIC
	@ATTRIBUTE pacman_positionY NUMERIC
	@ATTRIBUTE legal_north {0,1}
	@ATTRIBUTE legal_south {0,1}
	@ATTRIBUTE legal_east {0,1}
	@ATTRIBUTE legal_west {0,1}
	@ATTRIBUTE living_ghost1 {0,1}
	@ATTRIBUTE living_ghost2 {0,1}
	@ATTRIBUTE living_ghost3 {0,1}
	@ATTRIBUTE living_ghost4 {0,1}
	@ATTRIBUTE ghost1_positionX NUMERIC
	@ATTRIBUTE ghost1_positionY NUMERIC
	@ATTRIBUTE ghost2_positionX NUMERIC
	@ATTRIBUTE ghost2_positionY NUMERIC
	@ATTRIBUTE ghost3_positionX NUMERIC
	@ATTRIBUTE ghost3_positionY NUMERIC
	@ATTRIBUTE ghost4_positionX NUMERIC
	@ATTRIBUTE ghost4_positionY NUMERIC
	@ATTRIBUTE ghost1_distance NUMERIC
	@ATTRIBUTE ghost2_distance NUMERIC
	@ATTRIBUTE ghost3_distance NUMERIC
	@ATTRIBUTE ghost4_distance NUMERIC
	@ATTRIBUTE food_distance NUMERIC
	@ATTRIBUTE food_position_x NUMERIC
	@ATTRIBUTE food_position_y NUMERIC
	@ATTRIBUTE closest_food_dirx {West,East,North,South,Stop}
	@ATTRIBUTE closest_food_diry {West,East,North,South,Stop}
	@ATTRIBUTE score NUMERIC
	@ATTRIBUTE score_siguiente NUMERIC
	@ATTRIBUTE closest_ghost_x NUMERIC
	@ATTRIBUTE closest_ghost_y NUMERIC
	@ATTRIBUTE closest_ghost_distance NUMERIC
	@ATTRIBUTE closest_ghost_dirx {West,East,North,South,Stop}
	@ATTRIBUTE closest_ghost_diry {West,East,North,South,Stop}
	@ATTRIBUTE next_move {West,East,North,South,Stop}

@DATA

1,6,0,1,1,0,1,1,1,1,6,3,7,6,11,4,16,6,8,6,12,16,0,0,0,West,South,-1,-2,7,6,6,East,Stop,East
2,6,0,0,1,1,1,1,1,1,6,3,6,6,11,4,16,5,7,4,11,15,0,0,0,West,South,-2,-3,6,6,4,East,Stop,East
3,6,0,0,1,1,1,1,1,1,6,4,6,6,12,4,16,5,5,3,11,13,0,0,0,West,South,-3,-4,6,6,3,East,Stop,East
4,6,0,0,1,1,1,1,1,1,5,4,7,6,12,4,16,6,3,3,10,13,0,0,0,West,South,-4,-5,5,4,3,East,South,East
5,6,0,0,1,1,1,1,1,1,5,3,8,6,13,4,16,5,3,3,10,12,0,0,0,West,South,-5,-6,5,3,3,Stop,South,East
6,6,0,0,1,1,1,1,1,1,6,3,9,6,13,3,16,5,3,3,10,10,0,0,0,West,South,-6,-7,6,3,3,Stop,South,East
7,6,0,1,1,1,1,1,1,1,6,3,8,6,12,3,16,6,4,1,8,9,0,0,0,West,South,-7,192,8,6,1,East,Stop,East
8,6,0,0,1,1,1,0,1,1,6,4,3,1,11,3,16,6,4,0,6,9,0,0,0,West,South,192,191,6,4,4,West,South,East
9,6,0,0,1,1,1,0,1,1,6,3,3,1,11,4,17,6,6,0,4,9,0,0,0,West,South,191,190,11,4,4,East,South,East
10,6,0,0,1,1,1,0,1,1,6,3,3,1,11,3,18,6,7,0,4,8,0,0,0,West,South,190,189,11,3,4,East,South,West
9,6,0,0,1,1,1,0,1,1,5,3,3,1,11,3,18,6,7,0,5,8,0,0,0,West,South,189,188,11,3,5,East,South,West
8,6,0,0,1,1,1,0,1,1,5,4,3,1,12,3,17,6,5,0,7,10,0,0,0,West,South,188,187,5,4,5,West,South,West
7,6,0,1,1,1,1,0,1,1,5,4,3,1,12,3,18,6,4,0,8,12,0,0,0,West,South,187,186,5,4,4,West,South,South
7,5,1,1,0,0,1,0,1,1,5,3,3,1,12,4,18,5,4,0,6,12,0,0,0,West,South,186,185,5,3,4,West,South,South
7,4,1,1,1,1,1,0,1,1,5,3,3,1,12,4,18,6,3,0,5,12,0,0,0,West,South,185,184,5,3,3,West,South,South
7,3,1,0,1,1,1,0,1,1,5,4,3,1,12,4,18,5,3,0,6,14,0,0,0,West,South,184,183,5,4,3,West,North,West
6,3,1,0,1,1,1,0,1,1,5,3,3,1,12,4,18,6,1,0,7,14,0,0,0,West,South,183,382,5,3,1,West,Stop,West
5,3,1,0,1,1,0,0,1,1,1,1,3,1,12,4,18,5,0,0,8,15,0,0,0,West,South,382,381,1,1,0,West,South,North
5,4,0,1,1,1,0,0,1,1,1,1,3,1,12,3,18,5,0,0,8,15,0,0,0,West,South,381,380,1,1,0,West,South,East
6,4,0,1,1,1,0,0,1,1,1,1,3,1,13,3,18,6,0,0,8,13,0,0,0,West,South,380,379,1,1,0,West,South,East
7,4,1,1,1,1,0,0,1,1,1,1,3,1,14,3,17,6,0,0,8,13,0,0,0,West,South,379,378,1,1,0,West,South,East
8,4,0,1,1,1,0,0,1,1,1,1,3,1,15,3,18,6,0,0,8,11,0,0,0,West,South,378,377,1,1,0,West,South,East
9,4,0,1,1,1,0,0,1,1,1,1,3,1,15,3,18,5,0,0,7,11,0,0,0,West,South,377,376,1,1,0,West,South,East
10,4,0,1,1,1,0,0,1,1,1,1,3,1,16,3,18,6,0,0,7,9,0,0,0,West,South,376,375,1,1,0,West,South,East
11,4,0,1,1,1,0,0,1,1,1,1,3,1,17,3,18,5,0,0,7,9,0,0,0,West,South,375,374,1,1,0,West,South,East
12,4,0,1,1,1,0,0,1,1,1,1,3,1,17,3,18,6,0,0,6,7,0,0,0,West,South,374,373,1,1,0,West,South,East
13,4,0,1,1,1,0,0,1,1,1,1,3,1,17,4,17,6,0,0,4,5,0,0,0,West,South,373,372,1,1,0,West,South,East
14,4,1,1,1,1,0,0,1,1,1,1,3,1,18,4,16,6,0,0,4,4,0,0,0,West,South,372,371,1,1,0,West,South,East
15,4,0,1,1,1,0,0,1,1,1,1,3,1,18,5,16,6,0,0,4,3,0,0,0,West,South,371,370,1,1,0,West,South,East
16,4,1,1,1,1,0,0,1,1,1,1,3,1,18,6,16,6,0,0,4,2,0,0,0,West,South,370,369,1,1,0,West,South,East
17,4,0,1,1,1,0,0,1,1,1,1,3,1,18,5,16,6,0,0,2,2,0,0,0,West,South,369,368,1,1,0,West,South,East
18,4,1,1,0,1,0,0,0,1,1,1,3,1,5,1,16,5,0,0,0,3,0,0,0,West,South,568,567,1,1,0,West,South,North
18,5,1,1,0,0,0,0,0,1,1,1,3,1,5,1,16,5,0,0,0,2,0,0,0,West,South,567,566,1,1,0,West,South,North
18,6,0,1,0,1,0,0,0,1,1,1,3,1,5,1,16,5,0,0,0,3,0,0,0,West,South,566,565,1,1,0,West,South,West
17,6,0,0,1,1,0,0,0,1,1,1,3,1,5,1,16,5,0,0,0,1,0,0,0,West,South,565,764,1,1,0,West,South,West
1,18,0,1,1,0,1,1,1,1,5,8,11,4,18,6,25,7,14,24,29,36,0,0,0,West,South,-1,-2,5,8,14,East,South,South
1,17,1,1,0,0,1,1,1,1,6,8,11,3,18,5,26,7,14,24,29,36,0,0,0,West,South,-2,-3,6,8,14,East,South,South
1,16,1,1,1,0,1,1,1,1,6,8,11,3,17,5,27,7,13,23,27,36,0,0,0,West,South,-3,-4,6,8,13,East,South,South
1,15,1,1,1,0,1,1,1,1,6,7,11,4,17,5,27,6,13,21,26,34,0,0,0,West,South,-4,-5,6,7,13,East,South,South
