@relation 'pacman-data-training-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>0, ifelse(A>2, ifelse(A>5, ifelse(A>8, ifelse(A>12, ifelse(A>15, ifelse(A>18, 7, 6), 5), 4), 3), 2), 1), 0)-V-R1-2,11-18,24-25-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A>0, ifelse(A>5, ifelse(A>10, ifelse(A>15, ifelse(A>20, ifelse(A>25, ifelse(A>30, 7, 6), 5), 4), 3), 2), 1), 0)-V-R19-23,32'

@attribute pacman_positionX numeric
@attribute pacman_positionY numeric
@attribute legal_north {0,1}
@attribute legal_south {0,1}
@attribute legal_east {0,1}
@attribute legal_west {0,1}
@attribute living_ghost1 {0,1}
@attribute living_ghost2 {0,1}
@attribute living_ghost3 {0,1}
@attribute living_ghost4 {0,1}
@attribute ghost1_positionX numeric
@attribute ghost1_positionY numeric
@attribute ghost2_positionX numeric
@attribute ghost2_positionY numeric
@attribute ghost3_positionX numeric
@attribute ghost3_positionY numeric
@attribute ghost4_positionX numeric
@attribute ghost4_positionY numeric
@attribute ghost1_distance numeric
@attribute ghost2_distance numeric
@attribute ghost3_distance numeric
@attribute ghost4_distance numeric
@attribute food_distance numeric
@attribute food_position_x numeric
@attribute food_position_y numeric
@attribute closest_food_dirx {West,East,North,South,Stop}
@attribute closest_food_diry {West,East,North,South,Stop}
@attribute score numeric
@attribute score_siguiente numeric
@attribute closest_ghost_x numeric
@attribute closest_ghost_y numeric
@attribute closest_ghost_distance numeric
@attribute closest_ghost_dirx {West,East,North,South,Stop}
@attribute closest_ghost_diry {West,East,North,South,Stop}
@attribute next_move {West,East,North,South,Stop}

@data
1,3,0,1,1,0,1,1,1,1,3,2,3,3,4,2,6,3,2,2,3,3,0,0,0,West,South,0,-1,6,4,2,East,South,South
1,2,1,1,0,0,1,1,1,1,3,2,4,3,4,2,6,3,2,2,3,4,0,0,0,West,South,-1,-2,6,3,2,East,South,South
1,2,1,1,1,0,1,1,1,1,2,2,4,3,4,2,6,3,1,2,3,4,0,0,0,West,South,-2,-3,5,3,1,East,South,East
1,2,0,1,1,1,1,1,1,1,2,2,4,3,4,2,6,3,1,2,2,4,0,0,0,West,South,-3,-4,5,4,1,East,Stop,East
2,2,0,1,1,1,1,1,1,1,3,2,3,3,4,2,6,3,1,2,2,4,0,0,0,West,South,-4,-5,6,4,1,East,Stop,East
2,2,0,1,1,1,1,1,1,1,3,2,4,3,4,2,6,2,1,2,1,3,0,0,0,West,South,-5,-6,6,3,1,East,South,East
2,2,0,1,1,1,1,1,1,1,3,2,4,3,4,2,6,2,1,2,1,3,0,0,0,West,South,-6,-7,6,3,1,East,South,East
3,2,0,1,1,1,1,1,1,1,3,2,4,3,4,2,6,2,1,1,1,3,0,0,0,West,South,-7,192,6,3,1,Stop,South,South
3,2,1,0,1,1,0,1,1,1,1,1,3,3,4,2,6,2,0,1,1,3,0,0,0,West,South,192,191,1,1,0,West,South,East
3,2,1,0,1,1,0,1,1,1,1,1,3,3,4,2,6,2,0,1,1,3,0,0,0,West,South,191,190,1,1,0,West,South,North
3,2,1,1,1,1,0,1,1,1,1,1,3,2,4,2,6,2,0,1,1,2,0,0,0,West,South,190,389,1,1,0,West,South,North
