@RELATION pacman-data-training

	@ATTRIBUTE pacman_positionX NUMERIC
	@ATTRIBUTE pacman_positionY NUMERIC
	@ATTRIBUTE legal_north {0,1}
	@ATTRIBUTE legal_south {0,1}
	@ATTRIBUTE legal_east {0,1}
	@ATTRIBUTE legal_west {0,1}
	@ATTRIBUTE living_ghost1 {0,1}
	@ATTRIBUTE living_ghost2 {0,1}
	@ATTRIBUTE living_ghost3 {0,1}
	@ATTRIBUTE living_ghost4 {0,1}
	@ATTRIBUTE ghost1_positionX NUMERIC
	@ATTRIBUTE ghost1_positionY NUMERIC
	@ATTRIBUTE ghost2_positionX NUMERIC
	@ATTRIBUTE ghost2_positionY NUMERIC
	@ATTRIBUTE ghost3_positionX NUMERIC
	@ATTRIBUTE ghost3_positionY NUMERIC
	@ATTRIBUTE ghost4_positionX NUMERIC
	@ATTRIBUTE ghost4_positionY NUMERIC
	@ATTRIBUTE ghost1_distance NUMERIC
	@ATTRIBUTE ghost2_distance NUMERIC
	@ATTRIBUTE ghost3_distance NUMERIC
	@ATTRIBUTE ghost4_distance NUMERIC
	@ATTRIBUTE food_distance NUMERIC
	@ATTRIBUTE food_position_x NUMERIC
	@ATTRIBUTE food_position_y NUMERIC
	@ATTRIBUTE closest_food_dirx {West,East,North,South,Stop}
	@ATTRIBUTE closest_food_diry {West,East,North,South,Stop}
	@ATTRIBUTE score NUMERIC
	@ATTRIBUTE score_siguiente NUMERIC
	@ATTRIBUTE closest_ghost_x NUMERIC
	@ATTRIBUTE closest_ghost_y NUMERIC
	@ATTRIBUTE closest_ghost_distance NUMERIC
	@ATTRIBUTE closest_ghost_dirx {West,East,North,South,Stop}
	@ATTRIBUTE closest_ghost_diry {West,East,North,South,Stop}
	@ATTRIBUTE next_move {West,East,North,South,Stop}

@DATA

1,6,0,1,1,0,1,1,1,1,6,4,8,6,11,3,16,6,7,7,13,15,0,0,0,West,South,0,-1,6,4,7,East,South,South
1,5,1,1,0,0,1,1,1,1,6,3,9,6,11,4,16,6,7,9,11,17,0,0,0,West,South,-1,-2,6,3,7,East,South,South
1,4,1,1,1,0,1,1,1,1,5,3,9,6,11,3,17,6,5,10,11,19,0,0,0,West,South,-2,-3,5,3,5,East,South,East
2,4,0,1,1,1,1,1,1,1,5,4,9,6,11,4,18,6,3,9,9,18,0,0,0,West,South,-3,-4,5,4,3,East,Stop,East
3,4,0,1,1,1,1,1,1,1,6,4,8,6,10,4,18,6,3,7,7,16,0,0,0,West,South,-4,-5,6,4,3,East,Stop,East
4,4,0,1,1,1,1,1,1,1,6,3,9,6,9,4,18,5,3,7,5,14,0,0,0,West,South,-5,-6,6,3,3,East,South,East
5,4,0,1,1,1,1,1,1,1,6,3,9,6,9,4,18,4,2,6,4,14,0,0,0,West,South,-6,-7,6,3,2,East,South,East
6,4,0,1,1,1,1,1,1,1,6,3,9,6,9,4,18,5,1,5,3,12,0,0,0,West,South,-7,192,6,3,1,Stop,South,South
6,3,1,0,1,1,0,1,1,1,1,1,8,6,9,3,18,4,0,5,3,12,0,0,0,West,South,192,191,1,1,0,West,South,East
7,3,1,0,1,1,0,1,1,1,1,1,7,6,9,4,17,4,0,3,3,11,0,0,0,West,South,191,190,1,1,0,West,South,North
7,4,1,1,1,1,0,1,1,1,1,1,7,5,10,4,17,4,0,1,3,10,0,0,0,West,South,190,389,1,1,0,West,South,North
7,5,1,1,0,0,0,0,1,1,1,1,3,1,11,4,17,4,0,0,5,12,0,0,0,West,South,389,388,1,1,0,West,South,South
7,4,1,1,1,1,0,0,1,1,1,1,3,1,11,3,17,3,0,0,5,10,0,0,0,West,South,388,387,1,1,0,West,South,East
8,4,0,1,1,1,0,0,1,1,1,1,3,1,10,3,17,4,0,0,3,10,0,0,0,West,South,387,386,1,1,0,West,South,East
9,4,0,1,1,1,0,0,1,1,1,1,3,1,10,3,18,4,0,0,2,10,0,0,0,West,South,386,385,1,1,0,West,South,East
10,4,0,1,1,1,0,0,1,1,1,1,3,1,11,3,18,5,0,0,2,9,0,0,0,West,South,385,384,1,1,0,West,South,East
11,4,0,1,1,1,0,0,1,1,1,1,3,1,12,3,18,5,0,0,2,9,0,0,0,West,South,384,383,1,1,0,West,South,East
12,4,0,1,1,1,0,0,0,1,1,1,3,1,5,1,18,6,0,0,0,8,0,0,0,West,South,583,582,1,1,0,West,South,East
13,4,0,1,1,1,0,0,0,1,1,1,3,1,5,1,18,6,0,0,0,6,0,0,0,West,South,582,581,1,1,0,West,South,East
14,4,1,1,1,1,0,0,0,1,1,1,3,1,5,1,17,6,0,0,0,5,0,0,0,West,South,581,580,1,1,0,West,South,East
15,4,0,1,1,1,0,0,0,1,1,1,3,1,5,1,17,6,0,0,0,3,0,0,0,West,South,580,579,1,1,0,West,South,East
16,4,1,1,1,1,0,0,0,1,1,1,3,1,5,1,16,6,0,0,0,1,0,0,0,West,South,579,778,1,1,0,West,South,North
1,11,0,1,1,0,1,1,1,1,6,5,6,9,8,11,14,6,11,7,7,18,14,10,6,East,South,0,-1,6,9,7,East,South,East
2,11,0,0,1,1,1,1,1,1,6,5,6,8,9,11,14,6,10,7,7,16,13,10,6,East,South,-1,-2,6,8,7,East,South,East
3,11,0,0,1,1,1,1,1,1,5,5,5,8,8,11,14,7,8,5,5,14,12,10,6,East,South,-2,-3,5,8,5,East,South,East
4,11,0,0,1,1,1,1,1,1,4,5,5,8,7,11,14,8,6,4,3,14,11,10,6,East,South,-3,-4,7,11,3,East,Stop,East
5,11,0,1,1,1,1,1,1,1,4,5,6,8,8,11,15,8,7,4,3,14,10,10,6,East,South,-4,-5,8,11,3,East,Stop,East
6,11,0,1,1,1,1,1,1,1,5,5,7,8,8,11,15,7,7,4,2,14,9,10,6,East,South,-5,-6,8,11,2,East,Stop,East
7,11,0,0,1,1,1,1,0,1,6,5,6,8,5,1,16,7,7,4,0,14,8,10,6,East,South,194,193,6,8,4,West,South,West
6,11,0,1,1,1,1,1,0,1,6,5,6,8,5,1,17,7,6,3,0,16,9,10,6,East,South,193,192,6,8,3,Stop,South,South
6,10,1,1,0,1,1,1,0,1,6,4,6,9,5,1,18,7,6,1,0,14,8,10,6,East,South,192,391,6,9,1,Stop,South,South
6,9,1,1,1,1,1,0,0,1,6,3,3,1,5,1,18,8,6,0,0,14,7,10,6,East,South,391,390,6,3,6,Stop,South,East
7,9,0,1,1,1,1,0,0,1,7,3,3,1,5,1,18,7,6,0,0,14,6,10,6,East,South,390,389,7,3,6,Stop,South,East
8,9,0,1,1,1,1,0,0,1,7,4,3,1,5,1,18,6,6,0,0,13,5,10,6,East,South,389,388,7,4,6,West,South,South
8,8,1,1,1,1,1,0,0,1,7,3,3,1,5,1,18,6,6,0,0,11,4,10,6,East,South,388,387,7,3,6,West,South,South
8,7,1,1,1,1,1,0,0,1,7,3,3,1,5,1,18,7,5,0,0,11,3,10,6,East,South,387,386,7,3,5,West,South,South
8,6,1,1,1,0,1,0,0,1,7,3,3,1,5,1,18,8,4,0,0,13,2,10,6,East,Stop,386,385,7,3,4,West,South,South
8,5,1,1,1,1,1,0,0,1,7,4,3,1,5,1,18,9,2,0,0,13,3,10,6,East,North,385,384,7,4,2,West,South,West
7,5,0,1,1,1,1,0,0,1,7,4,3,1,5,1,17,9,1,0,0,14,4,10,6,East,North,384,583,7,4,1,Stop,South,South
7,4,1,1,1,1,0,0,0,1,1,1,3,1,5,1,17,9,0,0,0,15,5,10,6,East,North,583,582,1,1,0,West,South,East
8,4,1,1,1,1,0,0,0,1,1,1,3,1,5,1,17,9,0,0,0,13,4,10,6,East,North,582,581,1,1,0,West,South,East
9,4,1,1,1,1,0,0,0,1,1,1,3,1,5,1,16,9,0,0,0,13,3,10,6,East,North,581,580,1,1,0,West,South,East
10,4,1,1,1,1,0,0,0,1,1,1,3,1,5,1,17,9,0,0,0,11,2,10,6,Stop,North,580,579,1,1,0,West,South,East
11,4,1,1,0,1,0,0,0,1,1,1,3,1,5,1,16,9,0,0,0,9,3,10,6,West,North,579,578,1,1,0,West,South,North
11,5,0,1,1,1,0,0,0,1,1,1,3,1,5,1,16,8,0,0,0,9,2,10,6,West,North,578,577,1,1,0,West,South,East
12,5,0,0,1,1,0,0,0,1,1,1,3,1,5,1,16,9,0,0,0,9,3,10,6,West,North,577,576,1,1,0,West,South,East
13,5,0,1,1,1,0,0,0,1,1,1,3,1,5,1,17,9,0,0,0,9,4,10,6,West,North,576,575,1,1,0,West,South,East
14,5,1,1,1,1,0,0,0,1,1,1,3,1,5,1,18,9,0,0,0,9,5,10,6,West,North,575,574,1,1,0,West,South,East
15,5,0,1,1,1,0,0,0,1,1,1,3,1,5,1,18,10,0,0,0,9,6,10,6,West,North,574,573,1,1,0,West,South,East
16,5,0,1,1,1,0,0,0,1,1,1,3,1,5,1,18,11,0,0,0,7,7,10,6,West,North,573,572,1,1,0,West,South,East
17,5,0,1,1,1,0,0,0,1,1,1,3,1,5,1,17,11,0,0,0,6,8,10,6,West,North,572,571,1,1,0,West,South,East
18,5,1,1,0,1,0,0,0,1,1,1,3,1,5,1,17,11,0,0,0,8,9,10,6,West,North,571,570,1,1,0,West,South,North
18,6,1,1,0,0,0,0,0,1,1,1,3,1,5,1,16,11,0,0,0,8,8,10,6,West,Stop,570,569,1,1,0,West,South,North
18,7,1,1,0,1,0,0,0,1,1,1,3,1,5,1,15,11,0,0,0,6,7,14,10,West,North,569,568,1,1,0,West,South,North
18,8,1,1,0,1,0,0,0,1,1,1,3,1,5,1,16,11,0,0,0,5,6,14,10,West,North,568,567,1,1,0,West,South,North
18,9,1,1,0,1,0,0,0,1,1,1,3,1,5,1,16,11,0,0,0,4,5,14,10,West,North,567,566,1,1,0,West,South,North
18,10,1,1,0,0,0,0,0,1,1,1,3,1,5,1,16,11,0,0,0,4,4,14,10,West,Stop,566,565,1,1,0,West,South,North
18,11,0,1,0,1,0,0,0,1,1,1,3,1,5,1,15,11,0,0,0,2,5,14,10,West,South,565,564,1,1,0,West,South,West
14,3,0,0,1,1,1,1,1,1,10,15,13,15,14,15,17,15,16,13,12,15,0,0,0,West,South,0,-1,14,15,12,Stop,North,East
15,3,1,0,1,1,1,1,1,1,10,15,13,16,15,15,17,15,17,15,12,13,0,0,0,West,South,-1,-2,15,15,12,Stop,North,North
15,4,1,1,0,0,1,1,1,1,11,15,13,16,14,15,16,15,15,14,12,12,0,0,0,West,South,-2,-3,14,15,12,West,North,North
15,5,0,1,1,0,1,1,1,1,10,15,13,16,13,15,16,15,15,13,12,11,0,0,0,West,South,-3,-4,16,15,11,East,North,East
16,5,0,0,1,1,1,1,1,1,10,15,13,15,12,15,16,15,16,13,14,10,0,0,0,West,South,-4,-5,16,15,10,Stop,North,East
17,5,0,0,1,1,1,1,1,1,10,15,13,16,11,15,16,15,17,15,16,11,0,0,0,West,South,-5,-6,16,15,11,West,North,East
18,5,1,0,0,1,1,1,1,1,10,15,13,16,12,15,16,15,18,16,16,12,0,0,0,West,South,-6,-7,16,15,12,West,North,North
