@RELATION pacman-data-training

	@ATTRIBUTE pacman_positionX NUMERIC
	@ATTRIBUTE pacman_positionY NUMERIC
	@ATTRIBUTE legal_north {0,1}
	@ATTRIBUTE legal_south {0,1}
	@ATTRIBUTE legal_east {0,1}
	@ATTRIBUTE legal_west {0,1}
	@ATTRIBUTE living_ghost1 {0,1}
	@ATTRIBUTE living_ghost2 {0,1}
	@ATTRIBUTE living_ghost3 {0,1}
	@ATTRIBUTE living_ghost4 {0,1}
	@ATTRIBUTE ghost1_positionX NUMERIC
	@ATTRIBUTE ghost1_positionY NUMERIC
	@ATTRIBUTE ghost2_positionX NUMERIC
	@ATTRIBUTE ghost2_positionY NUMERIC
	@ATTRIBUTE ghost3_positionX NUMERIC
	@ATTRIBUTE ghost3_positionY NUMERIC
	@ATTRIBUTE ghost4_positionX NUMERIC
	@ATTRIBUTE ghost4_positionY NUMERIC
	@ATTRIBUTE ghost1_distance NUMERIC
	@ATTRIBUTE ghost2_distance NUMERIC
	@ATTRIBUTE ghost3_distance NUMERIC
	@ATTRIBUTE ghost4_distance NUMERIC
	@ATTRIBUTE score NUMERIC
	@ATTRIBUTE next_move {West,East,North,South,Stop}

@DATA

1,11,0,1,1,0,1,1,1,1,6,5,6,9,8,11,14,6,11,7,7,18,0,Stop
1,11,0,1,1,0,1,1,1,1,6,5,6,9,8,11,14,6,11,7,7,18,-1,West
1,11,0,1,1,0,1,1,1,1,6,5,6,9,8,11,14,6,10,7,7,18,-1,West
1,11,0,1,1,0,1,1,1,1,5,5,6,9,8,11,14,6,10,6,7,18,-1,Stop
1,11,0,1,1,0,1,1,1,1,5,5,5,9,8,11,14,6,10,6,7,18,-1,Stop
1,11,0,1,1,0,1,1,1,1,5,5,5,9,8,11,14,6,10,6,7,18,-1,Stop
1,11,0,1,1,0,1,1,1,1,5,5,5,9,8,11,14,6,10,6,7,18,-2,East
1,11,0,1,1,0,1,1,1,1,5,5,5,9,8,11,14,6,11,6,7,18,-2,East
1,11,0,1,1,0,1,1,1,1,6,5,5,9,8,11,14,6,11,7,7,18,-2,West
1,11,0,1,1,0,1,1,1,1,6,5,6,9,8,11,14,6,11,7,6,18,-2,North
1,11,0,1,1,0,1,1,1,1,6,5,6,9,7,11,14,6,11,7,6,17,-2,Stop
1,11,0,1,1,0,1,1,1,1,6,5,6,9,7,11,14,7,11,7,6,17,-3,Stop
1,11,0,1,1,0,1,1,1,1,6,5,6,9,7,11,14,7,11,7,6,17,-3,North
1,11,0,1,1,0,1,1,1,1,6,5,6,9,7,11,14,7,11,6,6,17,-3,East
1,11,0,1,1,0,1,1,1,1,6,5,6,10,7,11,14,7,11,6,7,17,-3,West
1,11,0,1,1,0,1,1,1,1,6,5,6,10,8,11,14,7,11,6,7,16,-3,East
2,11,0,0,1,1,1,1,1,1,6,5,6,10,8,11,13,7,10,5,6,15,-4,Stop
2,11,0,0,1,1,1,1,1,1,6,5,6,10,8,11,13,7,10,5,6,15,-4,South
2,11,0,0,1,1,1,1,1,1,6,5,6,10,8,11,13,7,10,6,6,15,-4,East
2,11,0,0,1,1,1,1,1,1,6,5,6,9,8,11,13,7,10,6,7,15,-4,East
2,11,0,0,1,1,1,1,1,1,6,5,6,9,9,11,13,7,10,6,7,16,-4,East
3,11,0,0,1,1,1,1,1,1,6,5,6,9,9,11,14,7,9,5,6,15,-5,West
3,11,0,0,1,1,1,1,1,1,6,5,6,9,9,11,14,7,8,5,6,15,-5,West
3,11,0,0,1,1,1,1,1,1,5,5,6,9,9,11,14,7,8,4,6,15,-5,West
3,11,0,0,1,1,1,1,1,1,5,5,5,9,9,11,14,7,8,4,5,15,-5,West
3,11,0,0,1,1,1,1,1,1,5,5,5,9,8,11,14,7,8,4,5,14,-5,East
4,11,0,0,1,1,1,1,1,1,5,5,5,9,8,11,13,7,7,3,4,13,-6,East
4,11,0,0,1,1,1,1,1,1,5,5,5,9,8,11,13,7,8,3,4,13,-6,East
4,11,0,0,1,1,1,1,1,1,6,5,5,9,8,11,13,7,8,4,4,13,-6,Stop
4,11,0,0,1,1,1,1,1,1,6,5,6,9,8,11,13,7,8,4,4,13,-6,West
4,11,0,0,1,1,1,1,1,1,6,5,6,9,8,11,13,7,8,4,4,12,-6,East
5,11,0,1,1,1,1,1,1,1,6,5,6,9,8,11,12,7,7,3,3,11,-7,East
5,11,0,1,1,1,1,1,1,1,6,5,6,9,8,11,12,7,8,3,3,11,-7,Stop
5,11,0,1,1,1,1,1,1,1,7,5,6,9,8,11,12,7,8,3,3,11,-7,West
5,11,0,1,1,1,1,1,1,1,7,5,6,9,8,11,12,7,8,3,2,11,-7,East
5,11,0,1,1,1,1,1,1,1,7,5,6,9,7,11,12,7,8,3,2,12,-7,South
5,10,1,1,1,0,1,1,1,1,7,5,6,9,7,11,13,7,7,2,3,11,-8,West
5,10,1,1,1,0,1,1,1,1,7,5,6,9,7,11,13,7,6,2,3,11,-8,South
5,10,1,1,1,0,1,1,1,1,6,5,6,9,7,11,13,7,6,3,3,11,-8,West
5,10,1,1,1,0,1,1,1,1,6,5,6,8,7,11,13,7,6,3,2,11,-8,Stop
5,10,1,1,1,0,1,1,1,1,6,5,6,8,6,11,13,7,6,3,2,11,-8,South
5,9,1,1,1,1,1,1,1,1,6,5,6,8,6,11,13,7,5,2,3,10,-9,East
5,9,1,1,1,1,1,1,1,1,6,5,6,8,6,11,13,7,6,2,3,10,-9,South
