@relation pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7-22

@attribute pacman_positionX numeric
@attribute pacman_positionY numeric
@attribute legal_north {0,1}
@attribute legal_south {0,1}
@attribute legal_east {0,1}
@attribute legal_west {0,1}
@attribute score numeric
@attribute next_move {West,East,North,South,Stop}

@data
1,11,0,1,1,0,0,Stop
1,11,0,1,1,0,-1,West
1,11,0,1,1,0,-1,West
1,11,0,1,1,0,-1,Stop
1,11,0,1,1,0,-1,Stop
1,11,0,1,1,0,-1,Stop
1,11,0,1,1,0,-2,East
1,11,0,1,1,0,-2,East
1,11,0,1,1,0,-2,West
1,11,0,1,1,0,-2,North
1,11,0,1,1,0,-2,Stop
1,11,0,1,1,0,-3,Stop
1,11,0,1,1,0,-3,North
1,11,0,1,1,0,-3,East
1,11,0,1,1,0,-3,West
1,11,0,1,1,0,-3,East
2,11,0,0,1,1,-4,Stop
2,11,0,0,1,1,-4,South
2,11,0,0,1,1,-4,East
2,11,0,0,1,1,-4,East
2,11,0,0,1,1,-4,East
3,11,0,0,1,1,-5,West
3,11,0,0,1,1,-5,West
3,11,0,0,1,1,-5,West
3,11,0,0,1,1,-5,West
3,11,0,0,1,1,-5,East
4,11,0,0,1,1,-6,East
4,11,0,0,1,1,-6,East
4,11,0,0,1,1,-6,Stop
4,11,0,0,1,1,-6,West
4,11,0,0,1,1,-6,East
5,11,0,1,1,1,-7,East
5,11,0,1,1,1,-7,Stop
5,11,0,1,1,1,-7,West
5,11,0,1,1,1,-7,East
5,11,0,1,1,1,-7,South
5,10,1,1,1,0,-8,West
5,10,1,1,1,0,-8,South
5,10,1,1,1,0,-8,West
5,10,1,1,1,0,-8,Stop
5,10,1,1,1,0,-8,South
5,9,1,1,1,1,-9,East
5,9,1,1,1,1,-9,South
5,9,1,1,1,1,-9,Stop
5,9,1,1,1,1,-9,West
5,9,1,1,1,1,-9,East
6,9,1,1,1,1,-10,West
6,9,1,1,1,1,-10,East
6,9,1,1,1,1,-10,South
6,9,1,1,1,1,-10,North
6,9,1,1,1,1,-10,South
6,8,1,1,1,1,-11,West
6,8,1,1,1,1,-11,West
6,8,1,1,1,1,-11,Stop
6,8,1,1,1,1,-11,East
6,8,1,1,1,1,-11,South
6,7,1,0,1,1,188,West
6,7,1,0,1,1,188,Stop
6,7,1,0,1,1,188,Stop
6,7,1,0,1,1,188,East
6,7,1,0,1,1,188,East
7,7,1,0,1,1,187,Stop
7,7,1,0,1,1,187,Stop
7,7,1,0,1,1,187,North
7,7,1,0,1,1,187,Stop
7,7,1,0,1,1,187,North
7,8,1,1,1,1,186,West
7,8,1,1,1,1,186,Stop
7,8,1,1,1,1,186,South
7,8,1,1,1,1,186,South
7,8,1,1,1,1,186,West
6,8,1,1,1,1,185,South
6,8,1,1,1,1,185,Stop
6,8,1,1,1,1,185,South
6,8,1,1,1,1,185,East
