@relation 'pacman-data-training-weka.filters.unsupervised.attribute.Remove-R1-6,23'

@attribute living_ghost1 {0,1}
@attribute living_ghost2 {0,1}
@attribute living_ghost3 {0,1}
@attribute living_ghost4 {0,1}
@attribute ghost1_positionX numeric
@attribute ghost1_positionY numeric
@attribute ghost2_positionX numeric
@attribute ghost2_positionY numeric
@attribute ghost3_positionX numeric
@attribute ghost3_positionY numeric
@attribute ghost4_positionX numeric
@attribute ghost4_positionY numeric
@attribute ghost1_distance numeric
@attribute ghost2_distance numeric
@attribute ghost3_distance numeric
@attribute ghost4_distance numeric
@attribute next_move {West,East,North,South,Stop}

@data
1,1,1,1,6,5,6,9,8,11,14,6,11,7,7,18,Stop
1,1,1,1,6,5,6,9,8,11,14,6,11,7,7,18,West
1,1,1,1,6,5,6,9,8,11,14,6,10,7,7,18,West
1,1,1,1,5,5,6,9,8,11,14,6,10,6,7,18,Stop
1,1,1,1,5,5,5,9,8,11,14,6,10,6,7,18,Stop
1,1,1,1,5,5,5,9,8,11,14,6,10,6,7,18,Stop
1,1,1,1,5,5,5,9,8,11,14,6,10,6,7,18,East
1,1,1,1,5,5,5,9,8,11,14,6,11,6,7,18,East
1,1,1,1,6,5,5,9,8,11,14,6,11,7,7,18,West
1,1,1,1,6,5,6,9,8,11,14,6,11,7,6,18,North
1,1,1,1,6,5,6,9,7,11,14,6,11,7,6,17,Stop
1,1,1,1,6,5,6,9,7,11,14,7,11,7,6,17,Stop
1,1,1,1,6,5,6,9,7,11,14,7,11,7,6,17,North
1,1,1,1,6,5,6,9,7,11,14,7,11,6,6,17,East
1,1,1,1,6,5,6,10,7,11,14,7,11,6,7,17,West
1,1,1,1,6,5,6,10,8,11,14,7,11,6,7,16,East
1,1,1,1,6,5,6,10,8,11,13,7,10,5,6,15,Stop
1,1,1,1,6,5,6,10,8,11,13,7,10,5,6,15,South
1,1,1,1,6,5,6,10,8,11,13,7,10,6,6,15,East
1,1,1,1,6,5,6,9,8,11,13,7,10,6,7,15,East
1,1,1,1,6,5,6,9,9,11,13,7,10,6,7,16,East
1,1,1,1,6,5,6,9,9,11,14,7,9,5,6,15,West
1,1,1,1,6,5,6,9,9,11,14,7,8,5,6,15,West
1,1,1,1,5,5,6,9,9,11,14,7,8,4,6,15,West
1,1,1,1,5,5,5,9,9,11,14,7,8,4,5,15,West
1,1,1,1,5,5,5,9,8,11,14,7,8,4,5,14,East
1,1,1,1,5,5,5,9,8,11,13,7,7,3,4,13,East
1,1,1,1,5,5,5,9,8,11,13,7,8,3,4,13,East
1,1,1,1,6,5,5,9,8,11,13,7,8,4,4,13,Stop
1,1,1,1,6,5,6,9,8,11,13,7,8,4,4,13,West
1,1,1,1,6,5,6,9,8,11,13,7,8,4,4,12,East
1,1,1,1,6,5,6,9,8,11,12,7,7,3,3,11,East
1,1,1,1,6,5,6,9,8,11,12,7,8,3,3,11,Stop
1,1,1,1,7,5,6,9,8,11,12,7,8,3,3,11,West
1,1,1,1,7,5,6,9,8,11,12,7,8,3,2,11,East
1,1,1,1,7,5,6,9,7,11,12,7,8,3,2,12,South
1,1,1,1,7,5,6,9,7,11,13,7,7,2,3,11,West
1,1,1,1,7,5,6,9,7,11,13,7,6,2,3,11,South
1,1,1,1,6,5,6,9,7,11,13,7,6,3,3,11,West
1,1,1,1,6,5,6,8,7,11,13,7,6,3,2,11,Stop
1,1,1,1,6,5,6,8,6,11,13,7,6,3,2,11,South
1,1,1,1,6,5,6,8,6,11,13,7,5,2,3,10,East
1,1,1,1,6,5,6,8,6,11,13,7,6,2,3,10,South
