@relation InstanceResultListener

@attribute Key_Dataset {pacman-data-training,pacman-data-training-weka.filters.unsupervised.attribute.Remove-R7-22,'pacman-data-training-weka.filters.unsupervised.attribute.Remove-R1-6,23-24-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.lazy.IBk,weka.classifiers.rules.PART,weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',''}
@attribute Key_Scheme_version_ID {-217733168393644444,-3080186098777067172,8121455039782598361,48055541465867954,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 1\nSize of the tree: 1\n','Number of rules: 50\n','Number of rules: 52\n','Number of rules: 49\n','Number of rules: 59\n','Number of rules: 61\n','Number of rules: 58\n','Number of rules: 47\n','Number of rules: 56\n','Number of rules: 64\n','Number of rules: 55\n','Number of rules: 48\n','Number of rules: 57\n','Number of rules: 63\n','Number of rules: 46\n','Number of rules: 68\n','Number of rules: 54\n','Number of rules: 65\n','Number of rules: 60\n','Number of rules: 51\n','Number of rules: 53\n','Number of rules: 44\n','Number of rules: 62\n','Number of rules: 13\n','Number of rules: 11\n','Number of rules: 8\n','Number of rules: 15\n','Number of rules: 12\n','Number of rules: 9\n','Number of rules: 5\n','Number of rules: 7\n','Number of rules: 10\n','Number of rules: 17\n','Number of rules: 16\n','Number of rules: 19\n','Number of rules: 14\n','Number of rules: 4\n','Number of rules: 6\n','Number of rules: 22\n','Number of rules: 18\n','Number of rules: 1\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

pacman-data-training,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,30,22,0,57.692308,42.307692,0,0.169208,0.244774,0.351854,93.013843,97.316055,98.703338,2232.277525,-2133.574187,1.898141,42.928414,-41.030273,10.70755,0.205914,10.848215,0.285714,2,0.022222,1,0.977778,44,0.714286,5,0.666667,0.285714,0.4,0.385713,0.763492,0.546919,0.576923,0.414426,0.585574,0.423077,?,0.576923,?,?,0.577838,0.44255,?,0.576923,0.006,0,0.015625,0,15.625,0,9689,105876,14603,96.153846,92.692308,'Number of leaves: 11\nSize of the tree: 21\n',21,11,11
pacman-data-training,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,23,29,0,44.230769,55.769231,0,-0.049408,0.264359,0.404045,100.456081,111.751222,98.703338,4393.72835,-4295.025012,1.898141,84.494776,-82.596635,2.342786,0.045054,2.373563,0.142857,1,0.088889,4,0.911111,41,0.857143,6,0.2,0.142857,0.166667,0.062483,0.552381,0.263802,0.442308,0.495212,0.504788,0.557692,?,0.442308,?,?,0.491536,0.369711,?,0.442308,0.006,0,0,0,0,0,13561,105876,14603,92.307692,87.692308,'Number of leaves: 19\nSize of the tree: 37\n',37,19,19
pacman-data-training,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,28,24,0,53.846154,46.153846,0,0.108571,0.257224,0.370577,97.70236,102.444007,98.900236,3310.400502,-3211.500266,1.901928,63.661548,-61.759621,4.152956,0.079865,4.199137,0.166667,1,0.108696,5,0.891304,41,0.833333,5,0.166667,0.166667,0.166667,0.057971,0.51087,0.123932,0.538462,0.419884,0.580116,0.461538,?,0.538462,?,?,0.554028,0.383273,?,0.538462,0.006,0,0.015625,0,15.625,0,11625,105876,14603,94.230769,94.615385,'Number of leaves: 15\nSize of the tree: 29\n',29,15,15
pacman-data-training,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,30,22,0,57.692308,42.307692,0,0.156342,0.246062,0.35643,93.462525,98.533049,98.900236,2235.320446,-2136.42021,1.901928,42.986932,-41.085004,9.139272,0.175755,9.2409,0.333333,2,0.043478,2,0.956522,44,0.666667,4,0.5,0.333333,0.4,0.347524,0.646739,0.33,0.576923,0.453735,0.546265,0.423077,?,0.576923,?,?,0.54342,0.411659,?,0.576923,0.005,0,0,0,0,0,13077,105876,14603,96.153846,93.461538,'Number of leaves: 18\nSize of the tree: 35\n',35,18,18
pacman-data-training,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,31,21,0,59.615385,40.384615,0,0.264151,0.223024,0.350947,84.711847,97.017447,98.900236,3297.249606,-3198.34937,1.901928,63.408646,-61.506719,20.917642,0.402262,21.150245,0.5,3,0.043478,2,0.956522,44,0.5,3,0.6,0.5,0.545455,0.494746,0.693841,0.33366,0.596154,0.353565,0.646435,0.403846,?,0.596154,?,?,0.684185,0.467668,?,0.596154,0.006,0,0,0,0,0,21789,105876,14603,90.384615,70.384615,'Number of leaves: 36\nSize of the tree: 71\n',71,36,36
pacman-data-training,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,27,25,0,51.923077,48.076923,0,0.071429,0.254094,0.362876,95.527711,99.163833,100.907697,99.278132,1.629565,1.940533,1.909195,0.031338,6.160108,0.118464,6.104696,0,0,0.022222,1,0.977778,44,1,7,0,0,0,-0.055228,0.477778,0.14,0.519231,0.447741,0.552259,0.480769,?,0.519231,?,?,0.581102,0.39555,?,0.519231,0.006,0,0.015625,0,15.625,0,12109,105876,14603,100,96.923077,'Number of leaves: 16\nSize of the tree: 31\n',31,16,16
pacman-data-training,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,465,52,27,25,0,51.923077,48.076923,0,0.107756,0.258318,0.370577,97.115554,101.268535,100.907697,2241.199882,-2140.292185,1.940533,43.099998,-41.159465,6.789731,0.130572,6.728655,0.285714,2,0.066667,3,0.933333,42,0.714286,5,0.4,0.285714,0.333333,0.253606,0.671429,0.324273,0.519231,0.414079,0.585921,0.480769,?,0.519231,?,?,0.575294,0.392782,?,0.519231,0.006,0,0,0,0,0,11625,105876,14603,96.153846,94.230769,'Number of leaves: 15\nSize of the tree: 29\n',29,15,15
pacman-data-training,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,466,51,29,22,0,56.862745,43.137255,0,0.128882,0.247556,0.357169,93.711311,98.359179,97.149564,1163.152414,-1066.00285,1.904893,22.80691,-20.902017,8.250715,0.161779,8.492797,0.142857,1,0.022727,1,0.977273,43,0.857143,6,0.5,0.142857,0.222222,0.212967,0.63474,0.244898,0.568627,0.466355,0.533645,0.431373,?,0.568627,?,?,0.533905,0.400142,?,0.568627,0.006,0,0.015625,0,15.625,0,13077,106097,14382,98.039216,95.686275,'Number of leaves: 18\nSize of the tree: 35\n',35,18,18
pacman-data-training,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,466,51,27,24,0,52.941176,47.058824,0,0.118156,0.241957,0.362185,91.591653,99.740575,97.149564,4374.26021,-4277.110646,1.904893,85.769808,-83.864915,14.103336,0.276536,14.517138,0,0,0.022727,1,0.977273,43,1,7,0,0,0,-0.056408,0.621753,0.18945,0.529412,0.435795,0.564205,0.470588,0.432741,0.529412,0.444725,0.12938,0.62052,0.465232,0.326032,0.529412,0.008,0,0,0,0,0,16949,106097,14382,88.235294,81.176471,'Number of leaves: 26\nSize of the tree: 51\n',51,26,26
pacman-data-training,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20210304.1148,466,51,28,23,0,54.901961,45.098039,0,0.202041,0.230036,0.36327,87.079116,100.039253,97.149564,4371.378313,-4274.228749,1.904893,85.7133,-83.808407,16.715154,0.327748,17.205589,0.142857,1,0.045455,2,0.954545,42,0.857143,6,0.333333,0.142857,0.2,0.142451,0.579545,0.238501,0.54902,0.352452,0.647548,0.45098,0.499648,0.54902,0.490909,0.246751,0.646591,0.469001,0.294545,0.54902,0.006,0,0.015625,0,15.625,0,19853,106097,14382,92.156863,74.117647,'Number of leaves: 32\nSize of the tree: 63\n',63,32,32
