Pacman position: (11, 9) Legal actions: ['North', 'South', 'East', 'West', 'Stop']  Living ghosts: [False, True, True, True, True]  Ghosts positions: [(5, 6), (5, 12), (13, 6), (13, 12)]  Ghosts distances: [9, 9, 5, 5]
Pacman position: (12, 10) Legal actions: ['North', 'South', 'East', 'West', 'Stop']  Living ghosts: [False, True, True, True, True]  Ghosts positions: [(5, 6), (5, 12), (13, 6), (13, 12)]  Ghosts distances: [11, 9, 5, 3]
Pacman position: (12, 11) Legal actions: ['North', 'South', 'East', 'West', 'Stop']  Living ghosts: [False, True, True, True, True]  Ghosts positions: [(5, 6), (5, 12), (13, 6), (13, 12)]  Ghosts distances: [12, 8, 6, 2]
Pacman position: (12, 10) Legal actions: ['North', 'South', 'East', 'West', 'Stop']  Living ghosts: [False, True, True, True, True]  Ghosts positions: [(5, 6), (5, 12), (13, 6), (13, 12)]  Ghosts distances: [11, 9, 5, 3]
Pacman position: (12, 11) Legal actions: ['North', 'South', 'East', 'West', 'Stop']  Living ghosts: [False, True, True, True, True]  Ghosts positions: [(5, 6), (5, 12), (13, 6), (13, 12)]  Ghosts distances: [12, 8, 6, 2]
Pacman position: (13, 11) Legal actions: ['North', 'South', 'East', 'West', 'Stop']  Living ghosts: [False, True, True, True, True]  Ghosts positions: [(5, 6), (5, 12), (13, 6), (13, 12)]  Ghosts distances: [13, 9, 5, 1]
Pacman position: (12, 11) Legal actions: ['North', 'South', 'East', 'West', 'Stop']  Living ghosts: [False, True, True, True, True]  Ghosts positions: [(5, 6), (5, 12), (13, 6), (13, 12)]  Ghosts distances: [12, 8, 6, 2]
Pacman position: (12, 10) Legal actions: ['North', 'South', 'East', 'West', 'Stop']  Living ghosts: [False, True, True, True, True]  Ghosts positions: [(5, 6), (5, 12), (13, 6), (13, 12)]  Ghosts distances: [11, 9, 5, 3]
Pacman position: (12, 9) Legal actions: ['North', 'South', 'East', 'West', 'Stop']  Living ghosts: [False, True, True, True, True]  Ghosts positions: [(5, 6), (5, 12), (13, 6), (13, 12)]  Ghosts distances: [10, 10, 4, 4]
Pacman position: (13, 9) Legal actions: ['North', 'South', 'East', 'West', 'Stop']  Living ghosts: [False, True, True, True, True]  Ghosts positions: [(5, 6), (5, 12), (13, 6), (13, 12)]  Ghosts distances: [11, 11, 3, 3]
Pacman position: (12, 9) Legal actions: ['North', 'South', 'East', 'West', 'Stop']  Living ghosts: [False, True, True, True, True]  Ghosts positions: [(5, 6), (5, 12), (13, 6), (13, 12)]  Ghosts distances: [10, 10, 4, 4]
Pacman position: (11, 9) Legal actions: ['North', 'South', 'East', 'West', 'Stop']  Living ghosts: [False, True, True, True, True]  Ghosts positions: [(5, 6), (5, 12), (13, 6), (13, 12)]  Ghosts distances: [9, 9, 5, 5]
Pacman position: (11, 8) Legal actions: ['North', 'South', 'East', 'West', 'Stop']  Living ghosts: [False, True, True, True, True]  Ghosts positions: [(5, 6), (5, 12), (13, 6), (13, 12)]  Ghosts distances: [8, 10, 4, 6]
Pacman position: (10, 8) Legal actions: ['North', 'South', 'East', 'West', 'Stop']  Living ghosts: [False, True, True, True, True]  Ghosts positions: [(5, 6), (5, 12), (13, 6), (13, 12)]  Ghosts distances: [7, 9, 5, 7]
Pacman position: (10, 9) Legal actions: ['North', 'South', 'East', 'West', 'Stop']  Living ghosts: [False, True, True, True, True]  Ghosts positions: [(5, 6), (5, 12), (13, 6), (13, 12)]  Ghosts distances: [8, 8, 6, 6]
